bin_start,bin_end,prime_count_p,prime_count_s,ratio_s_p,gap_2_rate,gap_4_rate,gap_6_rate,gap_12_rate,gap_30_rate,gap_34_rate,gap_56_rate
540000000,559999999,993769,61819,0.06220660938306588,0.10494612448845086,0.15566218515736382,0.09619590856456663,0.06979857957853068,0.06327657616198804,0.2245068074465129,0.20702775290957923
560000000,579999999,992025,61299,0.06179178952143343,0.10451964359909514,0.15732874502634692,0.09741217889532225,0.06934480553456195,0.06540347954839903,0.22198026539639334,0.19518900343642612
580000000,599999999,990528,60999,0.06158230761775538,0.10289120899487243,0.1551646787642518,0.09760481111533544,0.07156924074975093,0.0670428220830753,0.2220362622036262,0.20174032516601786
600000000,619999999,988685,61250,0.06195097528535378,0.10367210682492582,0.155836714467123,0.09888408582884678,0.06916876339576927,0.06317568349653911,0.22430747922437674,0.19800884955752213
620000000,639999999,987062,60699,0.06149461735939586,0.10411449016100179,0.15451239875778336,0.09715421745320693,0.07098449858383575,0.06403101137239334,0.2291739160693159,0.2005500802200321
640000000,659999999,985720,60564,0.061441382948504646,0.10206952607227711,0.152867430900126,0.09791548805431045,0.07008326492318517,0.06565714946248989,0.22598675131106818,0.20022883295194507
660000000,679999999,983997,60262,0.06124205663228648,0.1031736095896842,0.15432011664550116,0.0962030641938085,0.06864115180909656,0.06188759474949159,0.22275415375950436,0.2099236641221374
680000000,699999999,982764,60644,0.061707592056689096,0.10389324960753532,0.1539532119847376,0.09672031715614314,0.0696837294116254,0.06432396096520711,0.22904988789237668,0.20330167345092717
700000000,719999999,981117,60121,0.06127811463872301,0.1006239026837221,0.15391304347826087,0.0964388818476271,0.06927778500242354,0.06421106178320385,0.22476840565577766,0.19714858543105368
720000000,739999999,979939,59872,0.06109768056991303,0.10382608421484085,0.15416475646963973,0.09743753096906632,0.06828042390763175,0.062371567345413784,0.21614601614601614,0.18670248488918736
740000000,759999999,978232,60021,0.06135661070175582,0.10326526085647744,0.15337384578959828,0.09597438324296115,0.06894952186117323,0.06471908033215368,0.22576832151300236,0.20205245153933865
760000000,779999999,977257,59518,0.060903119650204604,0.10456757530455803,0.15342960288808663,0.09626047997160982,0.06962332784340676,0.06397062263180053,0.22545146726862303,0.20504802322984142
780000000,799999999,976703,59440,0.060857804265984645,0.10250394982525016,0.15276324550556453,0.09562931317778509,0.06771461675366404,0.0625920988000842,0.2264455842057191,0.19910714285714284
800000000,819999999,975323,59134,0.060630170722929734,0.10276597783384969,0.15258171181482894,0.09560142829226698,0.06876708730793567,0.06403667175996666,0.21998320738874896,0.20501342882721577
820000000,839999999,973908,58690,0.060262365644393516,0.10214196920919262,0.15083816737779057,0.09585072998900322,0.06807031888798037,0.0627127337156712,0.22547788474954653,0.19450997212095217
840000000,859999999,972430,58855,0.06052363666279321,0.10414260043640097,0.15455985155087743,0.096,0.06792113621381914,0.06100459149535082,0.21526568702555887,0.19584837545126355
860000000,879999999,971521,58972,0.0607006950956284,0.100894671980282,0.15332970132034354,0.09462801032110092,0.06821111472526413,0.06288469189543401,0.22001947690595436,0.1959413754227734
880000000,899999999,969854,58875,0.06070501333190356,0.10240944528217139,0.15313131313131312,0.0962976308440681,0.06870504897177346,0.05956708332356183,0.21746455145303945,0.20365477763099957
900000000,919999999,970368,58413,0.06019675009893154,0.10135124278989058,0.15069863499951597,0.09536559506909378,0.06924964515120167,0.06205993122646144,0.22101751459549623,0.19986690328305234
920000000,939999999,967841,58615,0.06056263373839298,0.10066182405165457,0.1533188160335511,0.09428664589522498,0.06690174979399932,0.0616767865483419,0.21691958587434407,0.20144673388864534
940000000,959999999,967892,58175,0.06010484640848359,0.10090453884671297,0.1525558845540624,0.09452525834443525,0.06781980934384728,0.06410907077604502,0.22005915938639334,0.20085470085470086
960000000,979999999,966264,58005,0.060030178087975956,0.1008915087445803,0.15206818588461102,0.09599782441191135,0.06694181962999167,0.0643000983468365,0.2202753441802253,0.20496623829231103
980000000,999999999,965954,58053,0.0600991351555043,0.1034533168734975,0.15055093504337494,0.09699794180848845,0.06938090697309499,0.062390507112657964,0.22570224719101123,0.2007089056269384
1000000000,1019999999,964787,57943,0.060057815870238715,0.10114094396047328,0.15046480959901015,0.09755432312028366,0.06746249041725988,0.06430258941311315,0.21815652173913044,0.1968073474743057
1020000000,1039999999,963891,58040,0.06021427734048767,0.10019138599447107,0.151181385027087,0.09585959415643557,0.06661812886785584,0.06200739345748762,0.22474012474012475,0.20295845116380248
1040000000,1059999999,962345,57599,0.05985275550867932,0.10091217267412345,0.15093009915594527,0.09441443091292007,0.06801428031826101,0.06399646659537868,0.22218297421405864,0.2027114267269206
1060000000,1079999999,962078,57644,0.05991613985560423,0.09950865966928388,0.15214411591932642,0.09506987471057135,0.06777183644136957,0.06354108178925698,0.2234012845573862,0.20590149707094815
1080000000,1099999999,961835,57716,0.060006134108241016,0.09986876640419948,0.15247661477255914,0.09435447696293381,0.06707495251546292,0.06311396619229596,0.22133858821873462,0.20156555772994128
1100000000,1119999999,960283,56937,0.05929189624308667,0.1004576734384775,0.1517210741082006,0.09539027874436834,0.06775718098782967,0.061106831921200665,0.2190123111359821,0.19624352331606218
1120000000,1139999999,958661,57303,0.05977399727328013,0.10132346896835183,0.15180982357326264,0.09488365237577612,0.06875961608909077,0.06288633341886124,0.2161356701908749,0.20229007633587787
1140000000,1159999999,958319,57492,0.059992549453783135,0.09999835176608264,0.15139586593098905,0.09548866647041507,0.06870219620766828,0.06481350830158507,0.21631008613503752,0.1960571923743501
1160000000,1179999999,958299,57200,0.05968909494844511,0.09990927835051547,0.15020756495708118,0.0955510756399989,0.06835889645709806,0.06278677778818241,0.21957007258514796,0.1939541041482789
1180000000,1199999999,956673,56696,0.05926371916004737,0.10085255435860155,0.15043824175098625,0.09381222804041596,0.06737846601486888,0.06305036984853822,0.21154789433116108,0.1979301423027167
1200000000,1219999999,956342,56960,0.05956028282769135,0.10034339298685861,0.15017927661472877,0.09353881426286643,0.06653273020842321,0.060832043525162985,0.22325485336637754,0.20068758057584873
1220000000,1239999999,954974,57069,0.05975974215004806,0.1017809587217044,0.1493689336469341,0.09444351898125011,0.06635954945163522,0.06173850003507869,0.2183211424590735,0.19364098034886287
1240000000,1259999999,954945,56660,0.05933326003068239,0.1009880896932597,0.1497303954200506,0.09433805239358997,0.067235951714052,0.06134177809054656,0.21463688720325888,0.20133649493425307
1260000000,1279999999,954473,57067,0.059789014461383405,0.10212212646073315,0.1506694761991671,0.09360688088766429,0.0666805789131262,0.061801988596201875,0.21728691476590636,0.19923044035912782
1280000000,1299999999,952894,56616,0.05941479325087575,0.0984864955263818,0.15001166239045682,0.09353746230572953,0.06651230533666953,0.06517126401939982,0.2177486765115631,0.19617330107763362
1300000000,1319999999,952949,56181,0.058954886358031755,0.1002155712638492,0.1470154506150082,0.09275281680344971,0.06872523568793551,0.06244002902010344,0.21513217866909753,0.2070862676056338
1320000000,1339999999,951970,56245,0.05908274420412408,0.09952170713760118,0.15135344421251093,0.09432663690476191,0.06739515141015011,0.061661379391375865,0.2182010582010582,0.1988698109106716
1340000000,1359999999,951886,56366,0.05921507407399625,0.09977752872890286,0.15068264233552248,0.09348059089426349,0.06702869484726937,0.06257340160661437,0.21646597591711006,0.1894781864841745
1360000000,1379999999,950269,56201,0.059142200787356,0.09925002106682397,0.14962576738709948,0.09397768404119006,0.06726016310776319,0.06233267786491033,0.21363316936050597,0.19229951074239524
1380000000,1399999999,950066,56728,0.05970953596908004,0.09995634360937605,0.14948158621153976,0.09336880960857427,0.06645306309998386,0.060306242638398115,0.206327954337256,0.19214162348877376
1400000000,1419999999,949153,55930,0.058926221589143166,0.09838315535768084,0.14907125174719185,0.09468363485758391,0.06724732623638303,0.06145515594334492,0.21635883905013192,0.1917486105173151
1420000000,1439999999,948376,56126,0.0591811686504087,0.09900040387722132,0.1497751351715542,0.09400901827979119,0.06626183024302655,0.06235755738821926,0.21181320634018053,0.19321093082835183
1440000000,1459999999,948345,55922,0.05896799160643015,0.09833781061114842,0.15208368483212417,0.09407995203252795,0.06887458601512217,0.06246893123446562,0.21506044905008637,0.1897700408338706
1460000000,1479999999,947717,56007,0.059096755677063934,0.09916724614575737,0.14749561225867422,0.09200540987301827,0.06810713930100568,0.06198268930615334,0.2117871528513886,0.1984978540772532
1480000000,1499999999,947464,55719,0.05880856686903144,0.09881931053147941,0.14600835009550212,0.09410706084152709,0.06580079025764393,0.06225727005778157,0.21577726218097448,0.203125
1500000000,1519999999,946206,55762,0.058932198696689725,0.09771147652144431,0.15000593914917446,0.09254348297958682,0.06614137719375164,0.06169196177627881,0.21100468433195832,0.18852097130242826
1520000000,1539999999,945704,55717,0.058915897574716825,0.0988665847330329,0.1487110134392697,0.09433374256303712,0.06720610535212668,0.06149103402833341,0.21402788590841532,0.2013157894736842
1540000000,1559999999,945255,55714,0.05894070912081925,0.10070377044164146,0.14877487478001894,0.09347629115070975,0.06634651838746367,0.06104412006675599,0.21437731547449415,0.18983336848766083
1560000000,1579999999,944222,55583,0.05886645301634573,0.09807038609189765,0.14709534745258143,0.09329479329099,0.0671258829876664,0.06245703856455474,0.21629390731262707,0.19965465141377078
1580000000,1599999999,943918,55345,0.058633271110414255,0.0992484264458884,0.14880902138865912,0.09194999194335707,0.0666758957449754,0.0615417226029817,0.21654588505417235,0.20334979600601247
1600000000,1619999999,942962,55402,0.05875316290582229,0.09846138135275896,0.14754881879011333,0.09350725626160433,0.06631078277589435,0.06138674593625404,0.21025965801139962,0.20160069219121782
1620000000,1639999999,943532,55096,0.05839335602820042,0.10103511888494124,0.14680133533178907,0.09292856601772594,0.067341587946759,0.06215678848702897,0.2162759210432552,0.1979716881470526
1640000000,1659999999,941523,55145,0.058569997758950124,0.09947545255074054,0.14803249035869082,0.09352709565746677,0.06558470991136181,0.06150023663038334,0.21549825981958945,0.1912637828668363
1660000000,1679999999,941955,55230,0.058633374205774164,0.09937399514247597,0.14757341154803724,0.09294049175166255,0.06584599924632584,0.06010502412716435,0.21236066036404685,0.1925925925925926
1680000000,1699999999,941214,54738,0.05815680599736085,0.09885514499211627,0.14872605510512807,0.09390659832707735,0.0659726165688687,0.06191950464396285,0.21792446219606196,0.19851694915254237
1700000000,1719999999,941304,55601,0.05906805877803557,0.09875995701639176,0.14782460910944936,0.09218260935949309,0.0665493136112659,0.06311380363016779,0.2109302821405728,0.19288469781397344
1720000000,1739999999,939778,54856,0.0583712323548753,0.09801172789906484,0.14680572766074626,0.09224426694150992,0.06613542797969338,0.05879257558362036,0.21914037687910226,0.19693747341556783
1740000000,1759999999,939905,54575,0.05806437884679835,0.09891298748132502,0.14936431614790985,0.0911103899822475,0.06642728904847396,0.06112423240434577,0.21426050123543947,0.19364406779661017
1760000000,1779999999,939086,54928,0.05849091563498977,0.09729110373841365,0.14622682116354746,0.09277888065969306,0.06520531339966665,0.06079005643260233,0.21944892378882422,0.18735262593783494
1780000000,1799999999,939330,54607,0.05813398911990461,0.09801467562748595,0.14650848270076866,0.09456020511643036,0.06589058814578103,0.062154827651875834,0.21159277040384072,0.18767210336793053
1800000000,1819999999,937851,54658,0.058280046617213185,0.09901787703751949,0.14841086739437348,0.09364816956052252,0.06635710196552382,0.059942390553955296,0.2108716673573698,0.18977469670710573
1820000000,1839999999,937670,54652,0.05828489767188883,0.09732501495598667,0.14783924610066895,0.09147108231341493,0.06559168477363117,0.062251561612720045,0.2120415126528291,0.1987513007284079
1840000000,1859999999,936961,54069,0.05770677754997273,0.09768416712479384,0.14731566165452384,0.09439394957337965,0.06680089713528392,0.06208279278216771,0.20808713604328327,0.18744698897370654
1860000000,1879999999,936613,54334,0.058011152952179824,0.09768060376837125,0.1452719636344781,0.09318861915346054,0.06656356560650044,0.06215345244301218,0.20949205448354144,0.19635081899232842
1880000000,1899999999,936411,54668,0.05838034794550683,0.0976424598322685,0.14603021314754777,0.09359856934081993,0.06633638211382113,0.06155273739560779,0.21461154668567356,0.18143459915611815
1900000000,1919999999,935495,54628,0.05839475357965569,0.09698476841778055,0.1463550265009992,0.09263232846132381,0.0668164239492527,0.060701804777634163,0.21329365079365079,0.18682252922422954
1920000000,1939999999,935183,54363,0.05813086850381155,0.09710267911261972,0.14787093637121423,0.09196654009984002,0.06672348870343986,0.057822480694060444,0.21388888888888888,0.19022540551927533
1940000000,1959999999,935269,54345,0.05810627744531253,0.09808146809398026,0.14681551402845747,0.09006384907698539,0.06529642058165548,0.06043511377701609,0.21142897307935615,0.1988539898132428
1960000000,1979999999,934565,54584,0.058405782369337605,0.09739030784991232,0.1439458677037373,0.09365727717621672,0.06554510294474299,0.06081113169017429,0.20899526936383533,0.19859038142620233
1980000000,1999999999,933847,54328,0.05817655354678015,0.09697789806044203,0.14743790168490534,0.09323687362361395,0.06630996830773574,0.060005224040082634,0.2111713742339931,0.19022540551927533
2000000000,2019999999,934675,54352,0.05815069409152914,0.09735079856725096,0.1466812583598242,0.09275676512717278,0.0644198006661477,0.06095473564092811,0.2131414800113411,0.19102780117944398
2020000000,2039999999,932909,54208,0.0581064176677468,0.09595588235294118,0.14811131466457297,0.09136384266993713,0.06685722342566364,0.061099025820486146,0.21745820801566762,0.18751313853268867
2040000000,2059999999,932442,54422,0.058365024312504156,0.0976004736365536,0.1489187731598267,0.09227884746157881,0.06671271955072854,0.06211165449949205,0.2107923400014238,0.18624161073825504
2060000000,2079999999,932313,54056,0.057980527998644234,0.09816785901238877,0.14499659632402995,0.09334769153157349,0.06564607533912865,0.061296762846413465,0.21424529636440798,0.18343071786310516
2080000000,2099999999,931900,53949,0.057891404657152055,0.09805328945064949,0.14883176754094926,0.09227623763335627,0.06517922364188591,0.06042029434916394,0.21403459429053578,0.1907316026603733
2100000000,2119999999,932394,54397,0.05834121626694294,0.09778832894024822,0.14597522950162872,0.09292929292929293,0.06543846341745625,0.05996962361763729,0.21369531138663247,0.19446179471163855
2120000000,2139999999,929858,53795,0.05785291947802783,0.09590770417645615,0.14791666666666667,0.09087353197148529,0.0659982002828127,0.06120560814176927,0.21361635666619339,0.19235751295336787
2140000000,2159999999,931165,54413,0.05843540081510796,0.09791681157404188,0.14715870500339598,0.09132016025516357,0.06521404570754354,0.05983211713645252,0.2125388747526152,0.1921223549130526
2160000000,2179999999,930655,54249,0.05829120350720729,0.09810448127255528,0.14534006804868638,0.09245367573992168,0.06594294953227856,0.05988785751307544,0.21424521615875267,0.18864313058273074
2180000000,2199999999,929524,53596,0.05765961933204522,0.09716613407311163,0.14678995666134437,0.09241191091183781,0.06459918530474214,0.062036283567086306,0.21498325892857142,0.18538287825908437
2200000000,2219999999,929213,53857,0.05795980039022269,0.0971079443997059,0.14916125398250338,0.09109608313039091,0.06654002222739139,0.05834473816898365,0.20938729623383923,0.18684977111943404
2220000000,2239999999,929136,53797,0.05790002755247886,0.09711908147679991,0.14590528954888932,0.09134671718158029,0.06584309238857966,0.060060345442018485,0.21267615709278204,0.18076842326264958
2240000000,2259999999,928840,53426,0.057519056026872226,0.09700170178424183,0.14552875565173026,0.09275602850727326,0.06535014977950913,0.061393489434608796,0.21734543152563832,0.18428299089176023
2260000000,2279999999,929340,53808,0.05789915423849183,0.09916120069636168,0.14718705678415717,0.09301581142690853,0.06613353315074157,0.059088869470750774,0.21143059992900248,0.19099705511148507
2280000000,2299999999,928289,53874,0.05803580565965987,0.09706190975865688,0.14713326537068935,0.09228600240848256,0.06573180293312425,0.05944997355642098,0.20628183361629882,0.18796198521647306
2300000000,2319999999,927087,53977,0.05822215175059083,0.09860805340529792,0.14512803341381317,0.09134973169871921,0.06534245510378606,0.06068099676621647,0.20607006098425756,0.19213602550478215
2320000000,2339999999,927319,53427,0.057614477865761404,0.09821475870106479,0.1456876662146216,0.09183244948385144,0.06536175710594315,0.06079451406951998,0.21437632135306553,0.1914848549036221
2340000000,2359999999,926519,53184,0.05740195290112777,0.09689113673339464,0.1457427902802949,0.09027519705830579,0.06581028180333394,0.060746773348573604,0.2116736490804516,0.18507281553398058
2360000000,2379999999,926450,53085,0.057299368557396514,0.10002827654460625,0.1457422334615317,0.09139942259675406,0.06561676399152498,0.06020986208380142,0.21045177736864468,0.18990845220353417
2380000000,2399999999,926132,53745,0.058031684468304735,0.09830837004405286,0.14692277815048904,0.09225937123902897,0.06708310700706138,0.059708230374453525,0.20931545518701483,0.19863160145392345
2400000000,2419999999,925446,53544,0.05785750870391141,0.09703047208785001,0.1460593041273419,0.09061717484165561,0.06601298701298701,0.05822170406148136,0.2131159213899174,0.1926889714993804
2420000000,2439999999,925735,53070,0.0573274209141925,0.09656185302496771,0.1473967589252723,0.09144223483916676,0.06582219459123406,0.059009608981067455,0.20957281827153532,0.19481340923466162
2440000000,2459999999,924757,53103,0.05742373401877466,0.09908696037585321,0.14592161016949154,0.09216576250159993,0.06640128627369622,0.06064782908339077,0.20681368391292054,0.19773429454170957
2460000000,2479999999,924910,53220,0.05754073369300797,0.09858679828143309,0.14428010332260005,0.09078550741769609,0.06476324023942144,0.06090692124105012,0.2112615516870836,0.18944944525853047
2480000000,2499999999,924076,52794,0.057131664495128104,0.09639087624849473,0.14663312487820435,0.09196895014905108,0.06560737413829121,0.05991444208111273,0.21165144758264318,0.19106382978723405
2500000000,2519999999,924386,53163,0.05751168883994349,0.0964513839602555,0.14536999236763165,0.09159657228606405,0.06520809855049936,0.06081952337742968,0.21635281085571864,0.1968586387434555
2520000000,2539999999,924150,53116,0.05747551804360764,0.09633043723952815,0.145250806067974,0.09101268331351565,0.06563053212537749,0.06220724596118918,0.2058844431810106,0.18264550264550264
2540000000,2559999999,923840,53207,0.057593306200207826,0.0953648495173197,0.14428294401252467,0.09223310557288993,0.06633291614518148,0.06101169172035314,0.21322452395898722,0.1868018204385602
2560000000,2579999999,923454,52961,0.05735098878774687,0.09795417784966495,0.14476844521145052,0.09109361605691257,0.06529681548467339,0.06081645312910076,0.20488330341113106,0.18172019831860314
2580000000,2599999999,922966,52543,0.05692842423231192,0.0968492882910099,0.14487576266690247,0.09198930196295163,0.06471056373860064,0.0584089823220258,0.20541082164328658,0.18719312602291327
2600000000,2619999999,921931,53107,0.057604094015712676,0.09635296210638676,0.1437318148551436,0.0911368091720956,0.06397030089878859,0.06090396834911881,0.21073882552950343,0.1830601092896175
2620000000,2639999999,921792,52485,0.056938007706727765,0.09708928571428571,0.1454849796107342,0.09160199419186663,0.06410172551379495,0.05842333127170655,0.20896150340088354,0.19438754608766898
2640000000,2659999999,921566,52812,0.05730680168322182,0.09652000285245668,0.1463401640799801,0.09176621581597394,0.06458785675046433,0.05949485950930585,0.205661180476731,0.18627450980392157
2660000000,2679999999,921428,52574,0.057057089647807535,0.09809940215936468,0.1470846709830156,0.09153392974034476,0.06486838676048996,0.060627044580816164,0.21092811196720151,0.18677371645890556
2680000000,2699999999,921308,52965,0.057488917929726,0.09737226797874995,0.14563400858766726,0.09172377438060095,0.06496250407564395,0.06017545131588487,0.2051556698086261,0.18425495989869142
2700000000,2719999999,921015,52415,0.056910039467326805,0.09745512992231449,0.1458604518464364,0.0921106120546913,0.06295947466185281,0.058678536386914594,0.20982642777155655,0.19310486353375744
2720000000,2739999999,919752,52778,0.05738285972740478,0.09693483146067415,0.14463186077643908,0.090077186281531,0.06422970328241367,0.06096887971782998,0.2016013726050901,0.18616247662580512
2740000000,2759999999,919729,52443,0.057020056995049626,0.0961194243574139,0.1453559370734861,0.09088378289702621,0.06482135846093444,0.058360109484707844,0.21314500674284903,0.18783237609019357
2760000000,2779999999,920182,52667,0.05723541647195881,0.0949609981614694,0.14294612824574204,0.08952995045343513,0.06414881475553923,0.0609116386021222,0.21383424472693702,0.18667210108008966
2780000000,2799999999,919388,52594,0.05720544536147959,0.09568326034498167,0.14451392229170007,0.09034689149822528,0.06640137635764286,0.05849150968110696,0.21005538985939498,0.19741774260724698
2800000000,2819999999,919599,52319,0.05689327630847794,0.09577098937854715,0.14305888241392872,0.09180566060268301,0.06518376762963352,0.059837583701381966,0.21330948121645796,0.19204737732656516
2820000000,2839999999,918884,52539,0.05717696684238707,0.09758941062524662,0.1463006601788059,0.0919209767102912,0.06510853607382551,0.05774076651707504,0.21069473085401408,0.19018662193331937
2840000000,2859999999,918866,52310,0.056928866668262836,0.09567238912732474,0.14527202653042934,0.09149804845423601,0.0648212346777253,0.05950778696404538,0.20609434096910012,0.18995678123070592
2860000000,2879999999,918583,52237,0.056866935268778104,0.09592115184373991,0.1448438399539436,0.09127216730415777,0.06515517804639007,0.06038722679398287,0.20970500213766566,0.18692976872480374
2880000000,2899999999,917821,52519,0.057221397200543464,0.0964002003864596,0.1443393183528653,0.09097099141858672,0.06531712126191258,0.06081162348752736,0.2082360433029081,0.18908941755537326
2900000000,2919999999,917713,52692,0.05741664332966843,0.09588179252575003,0.14740829417335216,0.09129422157972936,0.06439344262295082,0.05836528953524829,0.20905080404155402,0.1850696610521938
2920000000,2939999999,917722,52128,0.056801515055757625,0.09654253883119454,0.14425898917877528,0.0896970787235531,0.06588115556251468,0.06301094803270067,0.2092385572663995,0.19529460753695607
2940000000,2959999999,916961,52276,0.05701005822494087,0.0963723304810527,0.1461391078013159,0.09130365214608584,0.06550494215506916,0.05995036264186405,0.20505558309141117,0.19058625761714645
2960000000,2979999999,916811,52011,0.05673034027733088,0.09582057286975319,0.14686968204209583,0.08947947947947948,0.06386061029092202,0.05910199397503945,0.2100587476715862,0.18473314025651635
2980000000,2999999999,916319,52288,0.057063097021888665,0.09695759342221262,0.1473862754650932,0.09063732030536802,0.0653193316161416,0.05657503445274534,0.21195497292675977,0.18873960332693537
3000000000,3019999999,916195,52113,0.056879812703627505,0.0955318649999098,0.1454374683910122,0.089374180569873,0.06470960428145844,0.060944912382612064,0.2042886954018853,0.19422680412371135
3020000000,3039999999,916017,51892,0.05664960366456081,0.09692718289032351,0.14379660407869913,0.09135515656449336,0.06331817282974095,0.06101257966724751,0.20928744133124733,0.19558553034947884
3040000000,3059999999,915966,52390,0.057196446156298375,0.09604012007261876,0.14550603344095525,0.09053060323638881,0.06496630104400687,0.06022297671506658,0.20669361128837835,0.1896694214876033
3060000000,3079999999,916110,51913,0.056666775823863945,0.0941240086517664,0.1435854018806067,0.08983622350674374,0.06347663944113244,0.060213816577975934,0.211574273026787,0.18642665011380094
3080000000,3099999999,914816,52111,0.056963367496851824,0.09548048184041301,0.14225525297457597,0.09075332170985391,0.06484906728452759,0.061109370103415855,0.2077522706143174,0.20169133192389008
3100000000,3119999999,914705,51831,0.05666417041559847,0.09581262019666896,0.14307139114251125,0.0901596440722324,0.06405515346822337,0.06196363636363637,0.21150014232849418,0.1873087125076515
3120000000,3139999999,914630,51807,0.0566425767796814,0.09400268320098626,0.14377964970508125,0.09180860342252208,0.06362120971582791,0.059734088509167706,0.21435678749111584,0.19867149758454106
3140000000,3159999999,914757,51999,0.056844604632705735,0.09706693770872658,0.14431560373077892,0.08806497104507767,0.06358717170384057,0.05884487012044696,0.2020680741059888,0.1793591344153142
